[2025-07-25 17:02:08] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 17:25:31] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 17:25:53] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 17:37:02] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 17:37:23] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 18:15:41] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 18:19:07] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 19:22:51] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 19:22:51] [ERROR] Error in Start-DockerProduction - Exception: The value of the using variable '$using:ForceRebuildFlag' cannot be retrieved because it has not been set in the local session. - StackTrace: at Start-DockerProduction, D:\dev\casestrainer\dplaunch.ps1: line 570
at <ScriptBlock>, D:\dev\casestrainer\dplaunch.ps1: line 991
at <ScriptBlock>, <No file>: line 1
[2025-07-25 19:23:05] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 19:24:49] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 19:25:10] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 20:05:28] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 20:06:25] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 20:12:50] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 20:12:50] [ERROR] Error in Start-DockerProduction - Exception: The value of the using variable '$using:ForceRebuildFlag' cannot be retrieved because it has not been set in the local session. - StackTrace: at Start-DockerProduction, D:\dev\casestrainer\dplaunch.ps1: line 570
at <ScriptBlock>, D:\dev\casestrainer\dplaunch.ps1: line 991
at <ScriptBlock>, <No file>: line 1
[2025-07-25 20:13:54] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 21:07:45] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 21:08:06] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 21:24:51] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 21:25:13] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 21:35:15] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 21:35:38] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 22:06:38] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 22:06:59] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 22:32:26] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-25 22:32:48] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 22:44:26] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 3
[2025-07-25 22:44:46] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-25 22:47:02] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
